address,tx_count,active_days,in_out_ratio,burstiness,dormancy,total_eth_in,total_eth_out,unique_counterparties,contract_interaction_ratio,failed_tx_ratio
0xc05abc8f93815182664ef22ced7d221b9366a5a3,3,35.642916666666665,0.5,1.4141694765195907,1158.3180620868973,0.007299589763055316,0.006439708323452691,3,0.3333333333333333,0.0
0x5664bc7b6a9b3ab4e7793af00bada51cb3aae818,2,0.019583333333333335,1.0,,861.3709957533578,0.05,0.045000000000000005,2,0.0,0.0
0x3253e71aef7b8e181062a4b07c57fa85bf12bdd2,2,380.84208333333333,1.0,,701.1951788959735,0.03,0.025,2,0.0,0.0
0xbb4a6855ddfde2670061eb6e5bfcc608f96d6aa6,39,1.8422222222222222,0.08333333333333333,2.2476216481806075,1076.6376951454056,9.5463325227065,11.647124767565392,20,0.8717948717948718,0.0
0xebca295e309e3bed2695dbc2a04d22cbd1bd6bad,74,292.21958333333333,0.171875,4.314393215753166,806.8363259240626,1.5256092174337794,1.4143476134360933,18,0.7972972972972973,0.05405405405405406
0x3944fb2e694f59129dd6531a0cd1f8c760dd0385,4,30.551944444444445,3.0,0.8403727752593894,1061.8892591437393,0.021365782277357605,0.020931343723808605,4,0.0,0.0
0xd154ae1e290ae30772baaef8a3ce6603a910534f,202,923.1491666666667,0.01,3.293254791562555,155.36846745513657,0.3,0.0,126,0.9900990099009901,0.0049504950495049506
0xcd19e61f5305da0425e3016ddcf1fca10e818063,33,34.15222222222222,1.3571428571428572,1.985636309575118,1068.469315027418,0.35196596995679336,0.3456116062404774,15,0.0,0.0
0x9d50f8b26391fbc078a8cdec3fbe8e63d67b34e2,634,86.87902777777778,0.027552674230145867,4.062716362056142,998.8401730336359,1.9045447307283807,366.8074859962925,346,0.5047318611987381,0.0031545741324921135
0x8f32f3ee0312dca80b8e3e3080fabf2e8a436960,294,491.7840277777778,293.0,5.8241458044266485,588.7853326814925,1.1139948323404227,0.0,26,0.8979591836734694,0.30612244897959184
0x28b02b4125799d48872ffb26a7c47762799dfbe1,6,94.78847222222223,5.0,1.8962426546822342,993.4542369533109,0.03446949492774385,0.0,4,1.0,0.0
0xd38a24706d512eb2f77cf9951205251e048cef4d,37,656.0266666666666,0.027777777777777776,1.8348296738836856,432.2160618263428,0.19559244043768295,0.09,11,0.8648648648648649,0.0
0x93ee633542a503e5f4d7d813baf3e0b2d5b94531,140,158.0572222222222,0.007194244604316547,8.812697596504881,934.7362222573603,0.5254820569660101,34.35,77,0.9714285714285714,0.007142857142857143
0xe50a2dbc466d01a34c3e8b7e8e45fce4f7da39e6,47,58.162638888888885,46.0,1.6783834791094474,1037.0312358506244,0.0,0.0,4,1.0,0.02127659574468085
0xa974551cc5d452b5e3ad2147d88114699205f042,43,87.56666666666666,0.5925925925925926,4.562418323943299,1081.1711132176385,1.66703744166776,1.5982600345316031,11,0.23255813953488372,0.13953488372093023
0xfe7fee30afd19d6ad0167291b338a786b8beca57,53,39.84263888888889,0.06,3.6479098767327383,1044.2009938767028,0.2423966,0.0,29,0.9433962264150944,0.0
0xb8c6ddfece7bf42412acaa88f9c1c06adbe3af85,3,0.001388888888888889,3.0,1.131370849898476,1084.260179170188,0.002281719277893,0.00047640770255,3,0.0,0.0
0x9a0525016ff2f6e0c63214a52bc4adce3be0a990,849,1081.5209722222223,0.521505376344086,11.374073907474589,3.750627920867668,49.58887157521301,106.91398851173086,445,0.5465253239104829,0.016489988221436984
0xe8d20921738ebb9f38c416cafd49ec406646e4f9,150,1072.32125,0.3888888888888889,3.4271505415641115,10.836203451076592,0.12985327061292581,2.245785718687485,94,0.66,0.02
0x0d23f9350bbf9a76e6a41b8a4cc497366e29513b,66,299.93597222222223,0.1,7.209800056852308,784.154691147142,0.34371957536964926,0.2142466166251098,30,0.8333333333333334,0.0
0xa9cfc982a66d0134fee2539cfd633559fb5cf9a0,1321,108.1875,0.0007575757575757576,13.843718436032429,996.2159728702903,9.634647215709126,74.30275900000001,366,0.9704769114307343,0.010598031794095382
0xab45b218954f0c5c8a88e0b9b33b4c4852c67a5c,74,25.469583333333333,0.0136986301369863,3.997602512948259,1067.6921008451063,14.3,34.33294315787421,34,0.918918918918919,0.013513513513513514
0x422e922f018d6661375a7139a89839328aa130dc,463,930.2361111111111,0.026607538802660754,18.907165646006202,163.56407195954964,32.6479113041539,72.7039304631394,163,0.958963282937365,0.0064794816414686825
0x6f1ed372edceba48db7fc5e80e67d6166878f62f,203,941.9388888888889,0.009852216748768473,7.092790089819572,171.12020648007868,0.0,100.49852267194902,71,0.8719211822660099,0.07389162561576355
0xe4bb57cf97c6248efdaeb495a6123d8adf6f9bf2,627,1028.8494444444445,626.0,12.163727892087664,66.62231789792854,0.0,0.0,5,1.0,0.022328548644338118
0x77e0dede447662d6026f8fffa7beddf12f37bcbe,35,1025.3269444444445,0.12903225806451613,4.894231448185784,68.20539446068031,3.0700469813076126,3.048712418943094,20,0.7714285714285715,0.0
0x391da521dfffaaafde113f8ea006194a76d352f4,4,502.38416666666666,0.3333333333333333,1.6619798014386318,585.7947172016899,0.06340997430660782,0.06234749339584381,4,0.0,0.0
0x0b80ace6ba77fb95c61d4832286179ab5bf3fa09,640,112.29180555555556,0.0958904109589041,11.038128405697787,984.5393478467012,1.7348834072287913,2.8108422028648463,192,0.725,0.046875
0x2c7c2750284dd3ef6bf6ae0133aab14e3f5d5abe,250,50.084722222222226,249.0,5.997300844278107,1047.2065958206715,6.94195121433091,0.0,189,1.0,0.0
0x9b0d6bf3f4e918c2b648831482b0fb352555e058,4,414.06180555555557,0.0,1.5283567051250857,701.1953627953127,0.0,0.085156455527258,4,0.0,0.0
0x03d3b9978007fe0512a28311747f36ada73f4962,47,41.99263888888889,0.021739130434782608,4.283919227806128,1049.677045985416,0.004,0.190831276,35,0.9361702127659575,0.0
0x0000098a312e1244f313f83cac319603a97f4582,8892,1048.7688888888888,0.0013513513513513514,67.75101524860105,106.3068351782748,10.020000009999999,0.00201,1491,0.99842555105713,0.005847953216374269
0xd13b093eafa3878de27183388fea7d0d2b0abf9e,10000,99.16908564814815,9999.0,4.42716025720358,1124.8151259486212,661.2691074684112,0.0,9126,0.9986,0.0017
0xaca447eba1d8c9175b276ac7781e09819ed214e9,16,37.190694444444446,0.06666666666666667,3.5428743506325926,1049.2984764486469,0.05,0.01644163774885692,15,0.9375,0.0
