address,token_diversity,stablecoin_ratio,spam_token_ratio,repeated_dumps,airdrop_like_behavior
0xc41ae140ca9b281d8a1dc254c50e446019517d04,29,0.0,0.03125,0,0
0x90c1e932e3bd21ccc32b332c1d23f769269348b9,16,0.4074074074074074,0.0,6,17
0x31f74f72135569c0f81f5e40318fee130062f229,8,0.0,0.0,5,4
0xedecaa2480fc395adf3b6c92d8e4cf14ba2afdcc,52,0.0,0.0,13,18
0xc7ed38db03630a5fc41ca283defcb0f4f1677fc0,1,1.0,0.0,2,2
0xea34a8d44ee8d42787d7a075d796f2346a4667c0,108,0.0,0.0,7,104
0xb42f812a44c22cc6b861478900401ee759ebead6,40,0.0784313725490196,0.0784313725490196,4,5
0x8b3e42daf0c7d5540e0c2be39882cdeef315daf1,24,0.021739130434782608,0.004347826086956522,50,14
0xdcb06632e7611d632bdb1c8dbd3abcd9d6947e93,330,0.0,0.0001,6051,3421
0x4eb8769a89b91b60a14ad1d30f2b136d9cf61b18,314,0.0017301038062283738,0.01384083044982699,2,2
0xbc38534aa62b4bd40ff5a23ccedfb4bdea5da8e5,0,0.0,0.0,0,0
0x83c41363cbee0081dab75cb841fa24f3db46627e,19,0.8652,0.0003,1468,2331
0x58edf78281334335effa23101bbe3371b6a36a51,534,0.1568,0.0,314,1669
0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,227,0.017690875232774673,0.05307262569832402,16,55
0xd5847be133fb6e097d0cb52a80622e99c0fa074c,1,1.0,0.0,1,1
0x05ff6964d21e5dae3b1010d5ae0465b3c450f381,30,0.8569,0.0,5095,3826
0x77ad3a15b78101883af36ad4a875e17c86ac65d1,1204,0.0024247322691452818,0.0038391594261466965,293,183
0xa85b86af85d910796e4d69bfc60f675caa5457af,7,0.0,0.0,2,5
0x26cfd6cd888c28bee5ae27837580a8bb4c85927f,0,0.0,0.0,0,0
0x445ebcdf6accbd9caf3d8e1a401033cc36bb7b8f,0,0.0,0.0,0,0
