address,tx_count,active_days,in_out_ratio,burstiness,dormancy,total_eth_in,total_eth_out,unique_counterparties,contract_interaction_ratio,failed_tx_ratio,unique_active_hours,time_concentration
0xc41ae140ca9b281d8a1dc254c50e446019517d04,10000,41.66736111111111,0.0532,9.781245077665968,138.97712445121397,0.0,0.0,5,1.0,0.152,24,0.0536
0x90c1e932e3bd21ccc32b332c1d23f769269348b9,139,897.5068055555555,0.16666666666666666,3.2567371573376978,1.3186724251977824,0.5497948095463389,0.8941636423776458,47,0.7553956834532374,0.0,19,0.17266187050359713
0x31f74f72135569c0f81f5e40318fee130062f229,126,4.7844444444444445,0.10526315789473684,2.3478188274088083,0.04966092749878212,0.920119661,3.5435,28,0.7936507936507936,0.0,17,0.14285714285714285
0xedecaa2480fc395adf3b6c92d8e4cf14ba2afdcc,177,144.6134722222222,0.047337278106508875,4.049476520014577,0.3221798811356227,0.11457522758190868,0.8680558113693537,38,0.8531073446327684,0.011299435028248588,20,0.11864406779661017
0xc7ed38db03630a5fc41ca283defcb0f4f1677fc0,7,0.72125,0.4,2.206735414577397,3.033857829697706,0.00136554576082959,0.000100485710525371,3,0.5714285714285714,0.0,4,0.2857142857142857
0xea34a8d44ee8d42787d7a075d796f2346a4667c0,472,191.66097222222223,0.0654627539503386,4.08888179524497,1.3524946780557985,1.0275759164106644,7.906676817799913,110,0.9067796610169492,0.0,21,0.1228813559322034
0xb42f812a44c22cc6b861478900401ee759ebead6,10000,58.90736111111111,0.0012014417300760913,6.858715416930571,362.92048240473423,70.0,60.38154322961413,9163,0.0,0.0,24,0.0508
0x8b3e42daf0c7d5540e0c2be39882cdeef315daf1,1091,1548.3773148148148,0.07065750736015702,6.8950499240349465,0.38315810199137085,3.2045631741405165,36.24530268122791,66,0.7424381301558204,0.0018331805682859762,24,0.09165902841429881
0xdcb06632e7611d632bdb1c8dbd3abcd9d6947e93,10000,108.06138888888889,0.009693053311793215,1.96230988276138,14.195303291979211,4.000000153167474,0.4643571926643905,1102,0.8897,0.0,24,0.0605
0x4eb8769a89b91b60a14ad1d30f2b136d9cf61b18,10000,727.7003472222223,0.01610468042274786,12.411012604837985,764.5519059035651,61.27922031192872,7.536394511489832,19,0.9837,0.1208,24,0.0554
0xbc38534aa62b4bd40ff5a23ccedfb4bdea5da8e5,10,3.1838888888888888,0.6666666666666666,2.925046590111115,3.7201133303592604,0.12910324463780906,0.12847335029347107,6,0.0,0.0,3,0.4
0x83c41363cbee0081dab75cb841fa24f3db46627e,10000,97.36208333333333,0.0006003602161296778,1.281396173344699,708.7494906437038,306.4354,200.0,7,0.9992,0.0,24,0.0492
0x58edf78281334335effa23101bbe3371b6a36a51,10000,9.46861111111111,0.00040016006402561027,2.261964049979667,796.6430402239578,168.01,0.0001,440,0.9995,0.0,24,0.0631
0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,10000,95.71111111111111,0.0006003602161296778,2.2193111499056455,906.0779705527756,1.38025902,1002.5193895566277,1094,0.0003,0.0,24,0.0545
0xd5847be133fb6e097d0cb52a80622e99c0fa074c,2,0.0002777777777777778,1.0,,3.754095528956365,0.0006,0.0,2,0.5,0.0,1,1.0
0x05ff6964d21e5dae3b1010d5ae0465b3c450f381,10000,2.1304166666666666,0.0041168792047394315,2.876451817244922,110.19498378420042,150.0,0.3547309845866052,2006,0.7996,0.0,24,0.0678
0x77ad3a15b78101883af36ad4a875e17c86ac65d1,10000,109.82292824074074,0.0035115882411959464,14.9230745954267,1182.564218725264,23.30264623,4.3456766678280845,26,0.9956,0.0018,24,0.0578
0xa85b86af85d910796e4d69bfc60f675caa5457af,95,2.299861111111111,0.1728395061728395,6.2401847679646645,1.5132609015178902,0.806363915374366,2.759178945951469,32,0.7578947368421053,0.021052631578947368,9,0.2736842105263158
0x26cfd6cd888c28bee5ae27837580a8bb4c85927f,2,0.004166666666666667,1.0,,3.7542466923732447,0.006927247261053162,0.006760047261053162,2,0.0,0.0,1,1.0
0x445ebcdf6accbd9caf3d8e1a401033cc36bb7b8f,34,142.95361111111112,1.125,4.174856449152924,3.7210632036571147,2.8143449775694154,2.813296273910356,11,0.0,0.0,8,0.2647058823529412
0x65b61df575ec6fcb195ed208df8d9d7816dd486a,30,868.2102777777778,0.30434782608695654,1.9389603801946929,3.75427032959406,0.1270436744047682,0.314911309518891,21,0.6333333333333333,0.03333333333333333,12,0.2
0x5c98d2a99ceea22c3abf78ef4be423e64f51c600,403,1101.1545833333332,0.04404145077720207,3.8433960847853847,3.7529049618155867,6.9710329,13.87121283622043,39,0.9379652605459057,0.019851116625310174,24,0.10669975186104218
0x46340b20830761efd32832a74d7169b29feb9758,10000,141.31438657407406,0.003814495081308974,1.413973193649994,2440.6285960159507,8745.57238,18851.37625614906,3555,0.3363,0.0015,24,0.0551
0x94a95fca238561df7fc5b0877efd2299a15840bc,3,0.0016666666666666668,0.5,0.2357022603955158,3.7534681996979096,0.0005,0.00039271,3,0.3333333333333333,0.0,2,0.6666666666666666
0x555ce236c0220695b68341bc48c68d52210cc35b,10000,405.09694444444443,0.01863733577757409,12.69328670131401,693.7469425280999,3879.4561839090748,13816.874828615037,67,0.9644,0.0691,24,0.0521
0x72b9672d38c9a74b3badd431be423417eb45b4a6,79,24.002777777777776,0.06756756756756757,4.505944923763318,2.7540396528580673,0.48134475040784985,2.790673908407674,20,0.9620253164556962,0.13924050632911392,10,0.4430379746835443
